symbol,side,date,qty,px,pnl
DBREALTY,BUY,2025-06-13 00:00:00+05:30,5,240.24190166625976,0.0
JMFINANCIL,SELL,2025-06-17 00:00:00+05:30,1,141.09633478088378,-0.7077663299560584
ABCAPITAL,BUY,2025-06-17 00:00:00+05:30,1,255.44164361114503,0.0
DBREALTY,SELL,2025-06-19 00:00:00+05:30,5,211.7543597808838,-142.43770942687988
WIPRO,BUY,2025-06-19 00:00:00+05:30,4,265.9252405548096,0.0
GVT&D,SELL,2025-06-27 00:00:00+05:30,1,2332.7635087646486,41.188230981445486
NH,BUY,2025-06-27 00:00:00+05:30,1,2266.1421111083982,0.0
TANLA,SELL,2025-06-30 00:00:00+05:30,1,643.112877191162,-36.97009503173831
NH,SELL,2025-07-02 00:00:00+05:30,1,1978.8242043823243,-287.31790672607394
LAURUSLABS,BUY,2025-07-02 00:00:00+05:30,2,757.733775,0.0
ASAHIINDIA,BUY,2025-07-02 00:00:00+05:30,1,831.6297027770996,0.0
WIPRO,SELL,2025-07-10 00:00:00+05:30,4,264.7054228088379,-4.879270983886727
JPPOWER,BUY,2025-07-14 00:00:00+05:30,60,27.265398541641236,0.0
ABCAPITAL,SELL,2025-07-15 00:00:00+05:30,1,270.398025,14.956381388854993
JPPOWER,SELL,2025-07-16 00:00:00+05:30,60,23.719125,-212.77641249847426
BIOCON,BUY,2025-07-16 00:00:00+05:30,2,395.1630388885498,0.0
TRITURBINE,BUY,2025-07-18 00:00:00+05:30,1,668.618075,0.0
TRITURBINE,SELL,2025-07-23 00:00:00+05:30,1,628.1823,-40.43577499999992
KIMS,BUY,2025-07-24 00:00:00+05:30,1,790.3761305541992,0.0
NAVA,SELL,2025-07-28 00:00:00+05:30,1,599.8691793823242,38.890854382324164
ASAHIINDIA,SELL,2025-07-28 00:00:00+05:30,1,832.6162021911621,0.9864994140624503
VIJAYA,BUY,2025-07-28 00:00:00+05:30,1,1142.8337305541993,0.0
LAURUSLABS,SELL,2025-08-01 00:00:00+05:30,2,848.2458206176758,181.02409123535153
BIOCON,SELL,2025-08-01 00:00:00+05:30,2,382.60197609558105,-25.12212558593751
EMAMILTD,BUY,2025-08-01 00:00:00+05:30,1,620.1050777770996,0.0
CGCL,BUY,2025-08-04 00:00:00+05:30,6,190.36715111083984,0.0
KIMS,SELL,2025-08-05 00:00:00+05:30,1,739.6871793823242,-50.68895117187503
GPIL,BUY,2025-08-05 00:00:00+05:30,5,200.22996222229003,0.0
VIJAYA,SELL,2025-08-06 00:00:00+05:30,1,1050.6324,-92.20133055419933
GPIL,SELL,2025-08-06 00:00:00+05:30,5,190.24236848602294,-49.937968681335434
SARDAEN,BUY,2025-08-06 00:00:00+05:30,1,582.506275,0.0
EMAMILTD,SELL,2025-08-07 00:00:00+05:30,1,581.4431521911621,-38.661925585937524
FORTIS,BUY,2025-08-07 00:00:00+05:30,1,885.1492,0.0
ITI,BUY,2025-08-07 00:00:00+05:30,2,320.71637777709964,0.0
FSL,BUY,2025-08-07 00:00:00+05:30,1,370.3308111114502,0.0
CGCL,SELL,2025-08-08 00:00:00+05:30,6,181.9331771713257,-50.60384363708488
ITI,SELL,2025-08-08 00:00:00+05:30,2,303.2552489044189,-34.922257745361435
PIDILITIND,BUY,2025-08-08 00:00:00+05:30,1,3085.305738891602,0.0
FORTIS,SELL,2025-08-25 00:00:00+05:30,1,913.9603293823242,28.811129382324225
FSL,SELL,2025-08-26 00:00:00+05:30,1,353.4898771911621,-16.84093392028808
RTNINDIA,BUY,2025-08-26 00:00:00+05:30,7,58.27566076393128,0.0
OLAELEC,BUY,2025-08-28 00:00:00+05:30,8,54.91129215278625,0.0
SARDAEN,SELL,2025-08-29 00:00:00+05:30,1,597.5721206176758,15.065845617675791
PIDILITIND,SELL,2025-08-29 00:00:00+05:30,1,3046.3346587646483,-38.97108012695344
RTNINDIA,SELL,2025-08-29 00:00:00+05:30,7,61.280232609558105,21.032002919387793
OLAELEC,SELL,2025-08-29 00:00:00+05:30,8,53.979734238052366,-7.452463317871093
