date,symbol,side,price,qty,reason
2020-03-20,ZYDUSLIFE.NS,BUY,285.8,155,ADX=30.2
2020-03-25,ZYDUSLIFE.NS,SELL,270.08,155,STOP
2020-03-31,HINDUNILVR.NS,BUY,2298.5,18,ADX=24.8
2020-04-01,HINDUNILVR.NS,SELL,2172.08,18,STOP
2020-04-07,CIPLA.NS,BUY,492.25,1,ADX=26.9
2020-04-07,LUPIN.NS,BUY,700.05,56,ADX=38.6
2020-04-08,HSCL.NS,BUY,50.65,2,ADX=41.4
2020-04-09,CGPOWER.NS,BUY,6.65,5,ADX=28.0
2020-04-13,HSCL.NS,SELL,47.86,2,STOP
2020-04-13,SUZLON.NS,BUY,2.3,42,ADX=21.3
2020-05-06,ALOKINDS.NS,BUY,8.3,11,ADX=21.3
2020-05-06,SUZLON.NS,SELL,2.17,42,STOP
2020-05-11,CGPOWER.NS,SELL,6.65,5,RULE
2020-05-11,DBREALTY.NS,BUY,5.5,6,ADX=37.1
2020-07-01,DBREALTY.NS,SELL,7.0,6,RULE
2020-07-01,JPPOWER.NS,BUY,2.0,1,ADX=55.5
2020-07-01,RENUKA.NS,BUY,11.7,3,ADX=60.8
2020-07-01,RPOWER.NS,BUY,4.45,1,ADX=60.6
2020-07-03,RENUKA.NS,SELL,11.06,3,STOP
2020-07-03,SUZLON.NS,BUY,5.33,6,ADX=47.1
2020-07-06,HAL.NS,BUY,476.95,1,ADX=58.9
2020-07-06,IDBI.NS,BUY,53.55,2,ADX=52.3
2020-07-06,IRB.NS,BUY,10.81,1,ADX=40.6
2020-07-06,LUPIN.NS,SELL,875.55,56,RULE
2020-07-06,POWERINDIA.NS,BUY,849.75,57,ADX=60.8
2020-07-07,HUDCO.NS,BUY,36.65,1,ADX=45.1
2020-07-07,RPOWER.NS,SELL,4.21,1,STOP
2020-07-07,SUZLON.NS,SELL,5.03,6,STOP
2020-07-08,BSOFT.NS,BUY,99.3,1,ADX=50.0
2020-07-08,IDBI.NS,SELL,50.6,2,STOP
2020-07-09,BSE.NS,BUY,58.18,1,ADX=34.4
2020-07-09,ESCORTS.NS,BUY,1129.5,4701,ADX=54.0
2020-07-09,GNFC.NS,BUY,170.4,1,ADX=42.7
2020-07-09,HAL.NS,SELL,450.72,1,STOP
2020-07-09,JPPOWER.NS,SELL,1.89,1,STOP
2020-07-09,PATANJALI.NS,SELL,957.9,6046,RULE
2020-07-09,PERSISTENT.NS,BUY,371.25,1298,ADX=53.3
2020-07-10,LTIM.NS,BUY,2109.65,215,ADX=53.6
2020-07-10,PERSISTENT.NS,SELL,350.83,1298,STOP
2020-07-14,BSE.NS,SELL,54.98,1,STOP
2020-07-14,TATACOMM.NS,BUY,699.3,2,ADX=54.5
2020-07-15,ALOKINDS.NS,SELL,35.25,11,RULE
2020-07-15,GNFC.NS,SELL,161.03,1,STOP
2020-07-15,HUDCO.NS,SELL,34.63,1,STOP
2020-07-15,PERSISTENT.NS,BUY,382.33,2,ADX=56.8
2020-07-15,WIPRO.NS,BUY,131.38,2,ADX=42.0
2020-07-17,GRANULES.NS,BUY,264.05,5,ADX=43.2
2020-07-17,TATACOMM.NS,SELL,660.84,2,STOP
2020-07-17,TATASTEEL.NS,BUY,35.1,1,ADX=30.6
2020-07-22,PERSISTENT.NS,SELL,361.3,2,STOP
2020-07-22,RTNINDIA.NS,BUY,4.3,170,ADX=57.5
2020-08-31,CGPOWER.NS,BUY,22.4,230616,ADX=67.1
2020-08-31,CIPLA.NS,SELL,713.55,1,RULE
2020-08-31,ESCORTS.NS,SELL,1087.6,4701,RULE
2020-08-31,POWERINDIA.NS,SELL,917.25,57,RULE
2020-09-02,CGPOWER.NS,SELL,21.17,230616,STOP
2020-09-02,JSWSTEEL.NS,BUY,293.0,16661,ADX=59.9
2020-09-04,CGPOWER.NS,BUY,24.6,53,ADX=70.4
2020-09-04,RTNINDIA.NS,SELL,7.7,170,RULE
2020-09-08,CGPOWER.NS,SELL,23.25,53,STOP
2020-09-08,TATAELXSI.NS,BUY,1219.0,1,ADX=49.4
2020-09-08,TATASTEEL.NS,SELL,40.51,1,RULE
2020-09-09,ADANIGREEN.NS,BUY,590.05,7818,ADX=42.8
2020-09-09,JSWSTEEL.NS,SELL,276.88,16661,STOP
2020-09-09,PGEL.NS,BUY,5.68,42,ADX=19.2
2020-09-18,IRB.NS,SELL,11.61,1,RULE
2020-09-23,LTIM.NS,SELL,2448.45,215,RULE
2020-09-23,ZENSARTECH.NS,BUY,200.7,2622,ADX=29.4
2020-09-25,VEDL.NS,BUY,137.05,1,ADX=16.2
2020-09-29,RKFORGE.NS,BUY,65.66,7574,ADX=48.2
2020-09-29,ZENSARTECH.NS,SELL,189.66,2622,STOP
2020-10-01,TRIDENT.NS,BUY,7.85,5,ADX=16.7
2020-10-07,ANANTRAJ.NS,BUY,21.35,8,ADX=44.7
2020-10-07,TRIDENT.NS,SELL,7.42,5,STOP
2020-10-07,VEDL.NS,SELL,129.51,1,STOP
2020-10-13,ANANTRAJ.NS,SELL,20.18,8,STOP
2020-10-13,SWANENERGY.NS,BUY,137.0,1,ADX=29.6
2020-10-20,TTML.NS,BUY,3.95,6,ADX=20.9
2020-10-28,BSOFT.NS,SELL,184.0,1,RULE
2020-10-28,CGPOWER.NS,BUY,28.55,1,ADX=34.9
2020-10-28,KPRMILL.NS,BUY,143.97,1,ADX=39.1
2020-11-09,POWERGRID.NS,BUY,103.53,1,ADX=28.8
2020-11-09,SWANENERGY.NS,SELL,133.9,1,RULE
2020-12-14,BRIGADE.NS,BUY,237.25,8,ADX=73.6
2020-12-14,GRANULES.NS,SELL,380.25,5,RULE
2020-12-21,CAMS.NS,BUY,1687.85,1,ADX=54.3
2020-12-21,POWERGRID.NS,SELL,104.34,1,RULE
2020-12-21,SUZLON.NS,BUY,4.5,3,ADX=29.6
2020-12-21,TATAELXSI.NS,SELL,1551.55,1,RULE
2020-12-22,BRIGADE.NS,SELL,224.2,8,STOP
2020-12-22,BSOFT.NS,BUY,232.8,2,ADX=23.9
2020-12-22,CAMS.NS,SELL,1595.02,1,STOP
2020-12-22,PERSISTENT.NS,BUY,688.55,4,ADX=26.8
2020-12-31,GRAVITA.NS,BUY,77.0,9,ADX=55.9
2020-12-31,PGEL.NS,SELL,14.03,42,RULE
2021-01-08,ADANIGREEN.NS,SELL,1014.9,7818,RULE
2021-01-08,HFCL.NS,BUY,30.1,263606,ADX=60.3
2021-01-22,ANANTRAJ.NS,BUY,39.0,1,ADX=44.7
2021-01-22,CGPOWER.NS,SELL,39.7,1,RULE
2021-01-27,HFCL.NS,SELL,28.44,263606,STOP
2021-01-27,RKFORGE.NS,SELL,99.73,7574,RULE
2021-01-27,ROUTE.NS,BUY,1269.65,5913,ADX=18.0
2021-01-28,ANANTRAJ.NS,SELL,36.85,1,STOP
2021-01-28,HAVELLS.NS,BUY,1181.75,6035,ADX=55.2
2021-01-28,PGEL.NS,BUY,16.51,42917,ADX=15.8
2021-01-28,ROUTE.NS,SELL,1199.82,5913,STOP
2021-01-29,ANANTRAJ.NS,BUY,41.0,164380,ADX=51.2
2021-01-29,HAVELLS.NS,SELL,1116.75,6035,STOP
2021-02-03,ANANTRAJ.NS,SELL,38.74,164380,STOP
2021-02-03,CEATLTD.NS,BUY,1604.8,3968,ADX=59.7
2021-02-03,KAJARIACER.NS,BUY,867.8,1,ADX=57.9
2021-02-12,BSOFT.NS,SELL,244.35,2,RULE
2021-02-12,POONAWALLA.NS,BUY,98.2,7,ADX=48.7
2021-02-15,SUZLON.NS,SELL,5.37,3,RULE
2021-02-16,MAHABANK.NS,BUY,19.05,2,ADX=25.5
2021-02-22,HINDCOPPER.NS,BUY,98.4,6,ADX=43.0
2021-02-22,KPRMILL.NS,SELL,179.4,1,RULE
2021-02-22,WIPRO.NS,SELL,209.35,2,RULE
2021-02-23,ANANTRAJ.NS,BUY,48.05,125236,ADX=50.5
2021-02-23,CEATLTD.NS,SELL,1516.54,3968,STOP
2021-02-23,DBREALTY.NS,BUY,24.4,1,ADX=40.6
2021-02-24,REDINGTON.NS,BUY,96.97,1,ADX=55.2
2021-02-24,TTML.NS,SELL,14.95,6,RULE
2021-02-26,NATIONALUM.NS,BUY,60.0,1,ADX=39.1
2021-02-26,REDINGTON.NS,SELL,91.64,1,STOP
2021-03-17,ADANIPOWER.NS,BUY,87.2,1,ADX=51.3
2021-03-17,NATIONALUM.NS,SELL,56.7,1,STOP
2021-03-18,MAHABANK.NS,SELL,19.3,2,RULE
2021-03-22,ATGL.NS,BUY,819.1,1,ADX=49.4
2021-03-22,KAJARIACER.NS,SELL,910.25,1,RULE
2021-03-24,CGPOWER.NS,BUY,68.0,1,ADX=38.2
2021-03-25,GRAVITA.NS,SELL,92.05,9,RULE
2021-03-26,GODREJCP.NS,BUY,710.25,1,ADX=22.8
2021-03-30,GODREJIND.NS,BUY,545.8,1,ADX=50.8
2021-03-30,POONAWALLA.NS,SELL,104.9,7,RULE
2021-03-31,DBREALTY.NS,SELL,24.2,1,RULE
2021-03-31,GODREJIND.NS,SELL,515.78,1,STOP
2021-03-31,INTELLECT.NS,BUY,740.0,1,ADX=54.2
2021-03-31,JPPOWER.NS,BUY,3.25,52,ADX=15.3
2021-04-01,ADANIPOWER.NS,SELL,82.4,1,STOP
2021-04-01,SAIL.NS,BUY,83.85,1,ADX=15.9
2021-04-05,GPIL.NS,BUY,198.11,3,ADX=42.7
2021-04-05,INTELLECT.NS,SELL,699.3,1,STOP
2021-04-07,JPPOWER.NS,SELL,3.07,52,STOP
2021-04-07,KPITTECH.NS,BUY,198.8,1,ADX=45.6
2021-04-09,ASTERDM.NS,BUY,148.4,1,ADX=42.6
2021-04-09,KPITTECH.NS,SELL,187.87,1,STOP
2021-04-12,ANANTRAJ.NS,SELL,50.6,125236,RULE
2021-04-12,LALPATHLAB.NS,BUY,3336.55,1899,ADX=42.8
2021-04-13,GPIL.NS,SELL,187.22,3,STOP
2021-04-13,LALPATHLAB.NS,SELL,3153.04,1899,STOP
2021-04-13,MAHABANK.NS,BUY,27.0,2,ADX=24.1
2021-04-13,SONATSOFTW.NS,BUY,231.11,25914,ADX=47.5
2021-04-15,ASTERDM.NS,SELL,140.24,1,STOP
